version,split,n_features,roc_auc,pr_auc,brier_score,threshold_fixed,precision_fixed,recall_fixed,f1_fixed,threshold_tuned,precision_tuned,recall_tuned,f1_tuned
Baseline (X only),test,11,0.646540883797446,0.4253921475814865,0.1933201104402542,0.43999999999999984,0.5303030303030303,0.14276002719238612,0.22495982860203534,0.25,0.35387149917627675,0.7301155676410604,0.4766977363515313
Latent-only (Z only),test,32,0.6252018944877052,0.38722772173972325,0.19728821516036987,0.43999999999999984,0.4701492537313433,0.08565601631543168,0.14491086831512365,0.24,0.33995186522262333,0.7681849082256968,0.47132429614181437
Augmented (X + Z),test,43,0.6450564893013225,0.4271037621238862,0.19329890608787537,0.43999999999999984,0.5414012738853503,0.1733514615907546,0.262615859938208,0.25,0.3594704684317719,0.7199184228416043,0.47951098030337336
