threshold,precision,recall,f1
0.1,0.2881488736532811,1.0,0.4473844282238443
0.11,0.2881488736532811,1.0,0.4473844282238443
0.12,0.2881488736532811,1.0,0.4473844282238443
0.13,0.2881488736532811,1.0,0.4473844282238443
0.13999999999999999,0.2881488736532811,1.0,0.4473844282238443
0.14999999999999997,0.2881488736532811,1.0,0.4473844282238443
0.15999999999999998,0.2881488736532811,1.0,0.4473844282238443
0.16999999999999998,0.28800940438871475,0.9993201903467029,0.44714828897338404
0.17999999999999997,0.28800940438871475,0.9993201903467029,0.44714828897338404
0.18999999999999995,0.28800940438871475,0.9993201903467029,0.44714828897338404
0.19999999999999996,0.28800940438871475,0.9993201903467029,0.44714828897338404
0.20999999999999996,0.2880658436213992,0.9993201903467029,0.4472163066626103
0.21999999999999995,0.2879263034104273,0.9986403806934059,0.4469800699832649
0.22999999999999995,0.28798274848069005,0.9986403806934059,0.44704808277541086
0.23999999999999994,0.2880392156862745,0.9986403806934059,0.44711611626845227
0.24999999999999992,0.288152216555512,0.9986403806934059,0.4472522453950373
0.2599999999999999,0.2881821751079702,0.9979605710401088,0.4472201066260472
0.2699999999999999,0.28835199371439796,0.9979605710401088,0.44742456568119476
0.2799999999999999,0.28855232100708106,0.9972807613868117,0.4475972540045767
0.2899999999999999,0.28923501577287064,0.9972807613868117,0.4484181568088033
0.29999999999999993,0.2896974490804825,0.9959211420802175,0.4488357843137255
0.30999999999999994,0.2903033908387864,0.9952413324269205,0.44949339883328215
0.3199999999999999,0.2904894548348587,0.9925220938137321,0.449438202247191
0.32999999999999985,0.2909163665466186,0.9884432358939497,0.4495285206368836
0.33999999999999986,0.29108075532342303,0.9850441876274643,0.4493719956582416
0.34999999999999987,0.29146440129449835,0.9796057104010877,0.44925954793452844
0.3599999999999999,0.2930964052287582,0.9755268524813052,0.45076174022302495
0.3699999999999999,0.2941906140169527,0.9673691366417403,0.45117311350665823
0.3799999999999999,0.2946859903381642,0.9537729435757988,0.45025673940949934
0.3899999999999999,0.2967079948696024,0.9435757987763427,0.45145552122296306
0.3999999999999998,0.2991042167358532,0.9306594153636981,0.45271164021164023
0.4099999999999998,0.301010101010101,0.91162474507138,0.4525818427269659
0.4199999999999998,0.30362116991643456,0.8891910265125765,0.4526734729191902
0.4299999999999998,0.30559575494452484,0.8613188307273963,0.4511304967064269
0.43999999999999984,0.31164556962025314,0.8368456832087016,0.4541597491237779
0.44999999999999984,0.3147506001600427,0.8021753908905507,0.4521072796934866
0.45999999999999985,0.3186659192825112,0.7729435757987764,0.4512800158761659
0.46999999999999986,0.32600180777342574,0.7355540448674371,0.45177453027139874
0.47999999999999976,0.33486088379705403,0.6954452753229096,0.4520547945205479
0.48999999999999977,0.34221902017291067,0.6458191706322229,0.447374617376972
0.4999999999999998,0.3538961038961039,0.592794017675051,0.4432020330368488
0.5099999999999998,0.36009174311926606,0.5336505778382054,0.4300191728293618
0.5199999999999998,0.3551502145922747,0.45003399048266485,0.3970014992503748
0.5299999999999998,0.3575,0.38885112168592795,0.3725170954086617
0.5399999999999998,0.36350470673425056,0.34126444595513256,0.3520336605890603
0.5499999999999998,0.36254295532646047,0.2868796736913664,0.320303605313093
0.5599999999999997,0.3574380165289256,0.23521414004078858,0.28372283722837227
0.5699999999999997,0.36259541984732824,0.1937457511896669,0.25254762959680993
0.5799999999999997,0.3847376788553259,0.16451393609789258,0.23047619047619047
0.5899999999999997,0.388560157790927,0.13392250169952413,0.19919110212335692
