model,val_roc_auc,val_pr_auc,test_roc_auc,test_pr_auc,fixed_threshold,val_best_threshold,test_best_threshold
Blend_NNLS,0.6618944053947777,0.44317083154332326,0.6703828596677576,0.4517301857766243,0.43999999999999984,0.3482112189892512,0.3304049625846699
Stacking_OOF_5,0.6609315599667315,0.44112756595530833,0.6702492922234938,0.45118193875723384,0.43999999999999984,0.2242530248406454,0.21894340716382393
Blend_WeightedAUC,0.6595500535579262,0.43711851362140375,0.6700743824750534,0.4507340090159433,0.43999999999999984,0.4054414231932716,0.394896862209244
Blend_SimpleAvg,0.6591504736406332,0.4342004360034753,0.6694684651753756,0.44886565883931245,0.43999999999999984,0.4273019963947881,0.3989792894280958
Stacking_OOF,0.6585819701908892,0.4366967215355059,0.6679178481648694,0.44895336942616837,0.43999999999999984,0.22402418978075697,0.22571248923721238
Blend_RankAvg,0.657887007928369,0.4221528418568362,0.6672795678849988,0.4379961928654931,0.43999999999999984,2091.8,1656.6
