experiment,train_auc,val_auc,test_auc,test_pr_auc,test_brier,best_threshold_val,test_precision_at_best_threshold,test_recall_at_best_threshold,test_f1_at_best_threshold,best_epoch,train_time_sec,loss_type,pos_weight,focal_alpha,focal_gamma
wide_deep_focal,0.6858021556375765,0.653063053187155,0.6614565698159276,0.4356121681984761,0.19700704514980316,0.30999999999999994,0.36438923395445133,0.7178789938817132,0.48340581368734264,62,52.06442189216614,focal,2.469878494349562,0.25,2.0
wide_and_deep,0.6983330948659499,0.649779052509216,0.6496047975031494,0.4207603015988933,0.2364000529050827,0.45999999999999985,0.35221754613143413,0.7396329027872196,0.47719298245614034,44,41.890098333358765,bce_weighted,2.469878494349562,0.0,0.0
embedding_focal_loss,0.6860238677496723,0.6486663646121849,0.6611969176973871,0.43451896375162324,0.19757920503616333,0.29999999999999993,0.3429063756461804,0.8116927260367097,0.4821320411871593,49,42.94638180732727,focal,2.469878494349562,0.25,2.0
dense_baseline,0.6778151440012685,0.6467368388364741,0.6552801979342316,0.4219414816229108,0.23434597253799438,0.47999999999999976,0.369022869022869,0.7239972807613868,0.48886848749139317,76,48.88652539253235,bce_weighted,2.469878494349562,0.0,0.0
embedding_baseline,0.6830209179683542,0.6425448975552668,0.6489443495171929,0.41917246264200986,0.23287516832351685,0.4199999999999998,0.3464089991346986,0.8164513936097892,0.48643175374645603,33,30.189147233963013,bce_weighted,2.469878494349562,0.0,0.0
wide_and_deep_deeper,0.6957023433281859,0.6422421259746774,0.6475192559732146,0.41101783952654547,0.2327934205532074,0.45999999999999985,0.3591809331990601,0.7273963290278722,0.48089887640449436,27,35.4544198513031,bce_weighted,2.469878494349562,0.0,0.0
embedding_strong_weight,0.6887392433466754,0.6417296497652094,0.6441920422986023,0.40811672584538555,0.27183711528778076,0.5399999999999998,0.3546191247974068,0.7437117607070021,0.48024582967515367,38,34.528095960617065,bce_weighted,3.7048177415243435,0.0,0.0
