feature,mean_high,mean_others,diff_high_minus_others
CurrentEquipmentDays,400.29289940828403,380.41421471957085,19.87868468871318
RevenuePerMinute,1.1659391087669841,0.6470651081345834,0.5188740006324007
CreditRating,2.7485207100591715,2.887889723717683,-0.1393690136585115
DroppedCalls,5.790532544378698,6.0129621960598705,-0.22242965168117212
IncomeGroup,3.93491124260355,4.327121418288667,-0.3922101756851166
CustomerCareCalls,1.4251479289940827,1.871957640655505,-0.44680971166142225
MonthsInService,17.928994082840237,18.76177798812834,-0.8327839052881032
DroppedBlockedCalls,8.575443786982248,10.16855193358181,-1.5931081465995618
MonthlyRevenue,55.780355029585806,58.85491246810279,-3.074557438516983
HandsetPrice,77.8125,82.26375529926608,-4.45125529926608
MonthlyMinutes,487.0266272189349,525.9116768539948,-38.885049635059886
